tokens,tokens_stemmed
"dua, kali, menginap, hotel, masih, menjadi, hotel, tujuan, utama, datang, manado, sarapannya, enak, kamarnya, nyaman, banyak, warung, warung, makan, sekitar, hotel, stafnya, ramah, sigap","dua, kali, inap, hotel, masih, jadi, hotel, tuju, utama, datang, manado, sarap, enak, kamar, nyaman, banyak, warung, warung, makan, sekitar, hotel, staf, ramah, sigap"
"awalnya, banyak, hotel, penuh, ada, acara, tiff, agenda, lainnya, hanya, kamar, hotel, quality, rasa, setengah, hati, luar, hotelnya, kurang, menarik, akhirnya, masuk, kedalam, disambut, dengan, ramah, karyawannya, alunan, musik, bagus, sirna, rasa, setengah, hati, ditambah, suasana, kamar, nyaman, ternyata, tepat, pilihan, nginap, disini, hari, senin, nginap, karena, tugas, ke, kotamobagu, setelah, dari, kotamobagu, pilihan, langsung, ragu, nginap, di, quality, manado","awal, banyak, hotel, penuh, ada, acara, tiff, agenda, lain, hanya, kamar, hotel, quality, rasa, tengah, hati, luar, hotel, kurang, tarik, akhir, masuk, dalam, sambut, dengan, ramah, karyawannya, alun, musik, bagus, sirna, rasa, tengah, hati, tambah, suasana, kamar, nyaman, nyata, tepat, pilih, nginap, sini, hari, senin, nginap, karena, tugas, ke, kotamobagu, telah, dari, kotamobagu, pilih, langsung, ragu, nginap, di, quality, manado"
"menginap, manado, quality, bulan, juli, rangka, perjalanan, dinas, hotel, memberikan, pelayanan, sangat, prima, mulai, checkin, checkout, kamar, sangat, nyaman, bangun, terawat, baik, menu, sarapan, bervariasi, enakk, menyajikan, masakan, khas, manado, ruang, rapat, gunakan, sangat, nyaman, para, pelayan, sangat, sigap, menanggapi, segala, permintaan, kami, lounge, lantai, menyenangkan, hampir, malam, disuguhi, live, music, penyanyi, iringan, pianokeyboard, cocok, meet, up, dengan, temanrekan, kerja, lokasi, hotel, cukup, strategis, dilewati, kendaraan, umum, depan, hotel, berjalan, kaki, arah, belakang, hotel, terdapat, kafekafe, gaul, sekedar, nongkrongnongkrong, ala, anak, jaman, now","inap, manado, quality, bulan, juli, rangka, jalan, dinas, hotel, beri, layan, sangat, prima, mulai, checkin, checkout, kamar, sangat, nyaman, bangun, awat, baik, menu, sarap, variasi, enakk, saji, masakan, khas, manado, ruang, rapat, guna, sangat, nyaman, para, layan, sangat, sigap, tanggap, segala, minta, kami, lounge, lantai, senang, hampir, malam, suguh, live, music, nyanyi, iring, pianokeyboard, cocok, meet, up, dengan, temanrekan, kerja, lokasi, hotel, cukup, strategis, lewat, kendara, umum, depan, hotel, jalan, kaki, arah, belakang, hotel, dapat, kafekafe, gaul, dar, nongkrongnongkrong, ala, anak, jaman, now"
"hotel, begitu, nyaman, baik, sisi, ruangan, bed, maupun, toiletnya, pelayanannya, sangat, ramah, breakfastnya, enak, cukup, bervariasi, lokasi, cukup, dekat, mall, mantos, boleh, menjadi, masukan, wifinya, yang, perlu, ditingkatkat, speednya, thank, u, quality, hotel, manado","hotel, begitu, nyaman, baik, sisi, ruang, bed, maupun, toilet, layan, sangat, ramah, breakfastnya, enak, cukup, variasi, lokasi, cukup, dekat, mall, mantos, boleh, jadi, masuk, wifinya, yang, perlu, ditingkatkat, speednya, thank, u, quality, hotel, manado"
"kemaren, sempat, book, via, agoda, jam, wita, dapatnya, kamar, twin, okelah, proses, check, inout, cepat, wifi, kamar, kurang, baik, signalnya, kemaren, dpatnya, kamar, sarapannya, mantap, kamarnya, bersih, overall, recommended, hotel","kemaren, sempat, book, via, agoda, jam, wita, dapat, kamar, twin, oke, proses, check, inout, cepat, wifi, kamar, kurang, baik, signalnya, kemaren, dpatnya, kamar, sarap, mantap, kamar, bersih, overall, recommended, hotel"
"pelayanan, hotel, sangat, mulai, resepsionis, petugas, hotel, staff, hotel, bangunnya, sangat, baik, lift, sangat, baik, makanan, pagi, hari, lumayan, baik, sayangnya, hotel, dilengkapi, kolam, renang, sangat, disayangkan, biar, menurut, sudah, sangat, cukup, baik, terima, kasih, manado, quality, hotel, menginap, di, hotel, tersebut","layan, hotel, sangat, mulai, resepsionis, tugas, hotel, staff, hotel, bangun, sangat, baik, lift, sangat, baik, makan, pagi, hari, lumayan, baik, sayang, hotel, lengkap, kolam, renang, sangat, sayang, biar, turut, sudah, sangat, cukup, baik, terima, kasih, manado, quality, hotel, inap, di, hotel, sebut"
"suka, pelayanannya, staff, hotelnya, baik, menyapa, tamu, nama, sarapannya, mulainya, pagi, variatif, staff, restorant, selalu, siaga, menawarkan, teh, kopi, kamarnya, bersih, meja, bisa, bekerja, kamar, mandinya, bersih, wangi, dekat, mantos, gampang, cari, makan","suka, layan, staff, hotel, baik, sapa, tamu, nama, sarap, mulai, pagi, variatif, staff, restorant, selalu, siaga, tawar, teh, kopi, kamar, bersih, meja, bisa, kerja, kamar, mandi, bersih, wangi, dekat, mantos, gampang, cari, makan"
"lokasi, sangat, strategis, langsung, pinggir, laut, lalu, tinggal, jalan, kaki, lihat, sunset, mantos, manado, town, square, mall, paling, besar, manado, sangat, dekat, mungkin, bisa, dibilang, sebrangan, hotel, jendela, indonesia, kemarin, pas, manado, baru, dibuka, tempat, kuliner, restoran, seafood, coto, makasar, sampe, kuliner, khas, lamongan, juga, ada, tinggal, jalan, ke, kanan, hotel, recommended, hotel, kalo, ke, manado","lokasi, sangat, strategis, langsung, pinggir, laut, lalu, tinggal, jalan, kaki, lihat, sunset, mantos, manado, town, square, mall, paling, besar, manado, sangat, dekat, mungkin, bisa, bilang, sebrangan, hotel, jendela, indonesia, kemarin, pas, manado, baru, buka, tempat, kuliner, restoran, seafood, coto, makasar, sampe, kuliner, khas, lamongan, juga, ada, tinggal, jalan, ke, kanan, hotel, recommended, hotel, kalo, ke, manado"
"lokasinya, sangat, strategis, mau, mana, dekat, jalan, kaki, transmart, dekat, beberapa, pusat, perbelanjaan, kota, manado, tempat, makan, dekat, hotel, bersih, terawat, stafnya, ramah, nice, hotel","lokasi, sangat, strategis, mau, mana, dekat, jalan, kaki, transmart, dekat, beberapa, pusat, belanja, kota, manado, tempat, makan, dekat, hotel, bersih, awat, staf, ramah, nice, hotel"
"mengunjungi, manado, bulan, lalu, pernikahan, teman, teman, memilih, manado, quality, hotel, harga, terjangkau, kami, lokasi, seberang, manado, convention, center, mana, teman, resepsi, pernikahan, diselenggarakan, pilihan, tepat, menginap, hotel, ini, terletak, dekat, pantai, bahu, mall, manado, town, square, mall, terbesar, manado, staf, sangat, ramah, sangat, membantu, selama, menginap, sana, bahkan, memiliki, banyak, fasilitas, dalam, hotel, keberatan, jadwal, sangat, ketat, di, manado, pergi, sepanjang, hari, menyewa, mobil, hotel, terkejut, harga, lebih, masuk, akal, luar, penyewaan, mobil, disediakan, rumah, penuh, cakalang, rica, klapertaart, harga, masuk, akal, juga, kamar, sangat, bagus, bersih, luas, nyaman, sarapan, standar, banyak, berbeda, bisa, memilih, makan, disajikan, beberapa, makanan, lokal, hari, selera, sebagai, turis, makanan, lokal, adalah, terbaik, saya, suka, jagung, cakalang, keseluruhan, saya, merekomendasikan, hotel, ini, terima, kasih, membuat, saya, mengunjungi, hotel, berkualitas, di, manado, sangat, mengesankan","unjung, manado, bulan, lalu, nikah, teman, teman, pilih, manado, quality, hotel, harga, jangkau, kami, lokasi, seberang, manado, convention, center, mana, teman, resepsi, nikah, selenggara, pilih, tepat, inap, hotel, ini, letak, dekat, pantai, bahu, mall, manado, town, square, mall, besar, manado, staf, sangat, ramah, sangat, bantu, lama, inap, sana, bahkan, milik, banyak, fasilitas, dalam, hotel, berat, jadwal, sangat, ketat, di, manado, pergi, panjang, hari, sewa, mobil, hotel, kejut, harga, lebih, masuk, akal, luar, sewa, mobil, sedia, rumah, penuh, cakalang, rica, klapertaart, harga, masuk, akal, juga, kamar, sangat, bagus, bersih, luas, nyaman, sarap, standar, banyak, beda, bisa, pilih, makan, saji, beberapa, makan, lokal, hari, selera, bagai, turis, makan, lokal, adalah, baik, saya, suka, jagung, cakalang, seluruh, saya, rekomendasi, hotel, ini, terima, kasih, buat, saya, unjung, hotel, kualitas, di, manado, sangat, kesan"
"keempat, kalinya, menginap, hotel, sejak, tahun, ada, perubahan, signifikan, ukuran, kamar, kebersihan, ruangan, cukup, baik, pilihan, menu, sarapan, termasuk, monoton, tidak, terlalu, banyak, variasi, malam, terakhir, cukup, puas, menginap, hotel, namun, saat, membayar, laundry, cukup, kecewa, x, laundry, menginap, hari, bill, dicash, kelebihan, ribu, yang, bayar, pihak, laundry, front, office, memaksa, untuk, mengakui, kelebihan, tersebut, alasan, salah, mencatat, jumlah, pakaian, yg, laundry, jadi, saran, saya, jika, menginap, hotel, dan, menggunakan, jasa, laundry, pastikan, terlebih, atau, hitung, kira, berapa, harus, membayar, bill, laundry, tidak, kecewa","empat, kali, inap, hotel, sejak, tahun, ada, ubah, signifikan, ukur, kamar, bersih, ruang, cukup, baik, pilih, menu, sarap, masuk, monoton, tidak, terlalu, banyak, variasi, malam, akhir, cukup, puas, inap, hotel, namun, saat, bayar, laundry, cukup, kecewa, x, laundry, inap, hari, bill, dicash, lebih, ribu, yang, bayar, pihak, laundry, front, office, paksa, untuk, aku, lebih, sebut, alas, salah, catat, jumlah, pakai, yg, laundry, jadi, saran, saya, jika, inap, hotel, dan, guna, jasa, laundry, pasti, lebih, atau, hitung, kira, berapa, harus, bayar, bill, laundry, tidak, kecewa"
"kamarnya, nyaman, luas, sarapannya, banyak, pilihan, paling, enak, tinutuannya, live, music, resto, malam, dekat, pusat, perbelanjaan, beberapa, kuliner, disamping, kanan, hotel, coto, daeng, yabgvenak, sana, cukup, berjalan, meter, dr, hotel","kamar, nyaman, luas, sarap, banyak, pilih, paling, enak, tutu, live, music, resto, malam, dekat, pusat, belanja, beberapa, kuliner, samping, kanan, hotel, coto, daeng, yabgvenak, sana, cukup, jalan, meter, dr, hotel"
"hotel, memberikan, sentuhan, lokal, standar, sangat, baik, makanannya, enak, terutama, selera, asia, adalah, pilihan, baik, pertemuan, bisnis, memiliki, kolam, renang, jadi, tidak, dianjurkan, keluarga, mereka, ingin, berenang, akses, transportasi, umum, cukup, mudah, dekat, pusat, kota","hotel, beri, sentuh, lokal, standar, sangat, baik, makan, enak, utama, selera, asia, adalah, pilih, baik, temu, bisnis, milik, kolam, renang, jadi, tidak, anjur, keluarga, mereka, ingin, renang, akses, transportasi, umum, cukup, mudah, dekat, pusat, kota"
"beberapa, kali, nginep, sini, urusan, kerjaan, jadi, mau, gak, mau, nginep, sini, tempatnya, strategis, krn, pusat, kota, dekat, dg, tempat, makan, mall, mantos, staffnya, ramah, menyenangkan, sayangnya, gak, kolam, renang, fitness, center","beberapa, kali, nginep, sini, urus, kerja, jadi, mau, gak, mau, nginep, sini, tempat, strategis, krn, pusat, kota, dekat, dg, tempat, makan, mall, mantos, staffnya, ramah, senang, sayang, gak, kolam, renang, fitness, center"
"cukup, nyaman, utk, hotel, lama, spacy, room, fasilitas, kurang, lengkap, wifi, terbatas, lobby, breakfast, walau, variasi, makanan, kurang, banyak, hospitality, baik, kebersihan, oksecara, keseluruhan, baik","cukup, nyaman, utk, hotel, lama, spacy, room, fasilitas, kurang, lengkap, wifi, batas, lobby, breakfast, walau, variasi, makan, kurang, banyak, hospitality, baik, bersih, oksecara, seluruh, baik"
"hotel, berada, pusat, kota, dekat, mall, pusat, oleholeh, akses, bandara, sam, ratulangi, kirakira, membutuhkan, waktu, jam, kamar, berlantai, kayu, bersih, pelayanan, baik, cukup, memuaskan","hotel, ada, pusat, kota, dekat, mall, pusat, oleholeh, akses, bandara, sam, ratulangi, kirakira, butuh, waktu, jam, kamar, lantai, kayu, bersih, layan, baik, cukup, muas"
"mendapat, kamar, lebih, kecil, kunjungan, terakhir, sabun, cair, menambahkan, hari, sarapan, enak, banyak, pilihan, bagus, lobi, besar, kami, bertemu, rekan, kerja, nyaman, piano, penyanyi, staf, sangat, ramah, ingat, nama, bila, memberikan, harga, promosi, pikir, hotel, layak, tinggal","dapat, kamar, lebih, kecil, kunjung, akhir, sabun, cair, tambah, hari, sarap, enak, banyak, pilih, bagus, lobi, besar, kami, temu, rekan, kerja, nyaman, piano, nyanyi, staf, sangat, ramah, ingat, nama, bila, beri, harga, promosi, pikir, hotel, layak, tinggal"
"manado, quality, hotel, memiliki, lokasi, bagus, akses, mudah, ketika, tinggal, sini, akses, internet, sangat, buruk, mengeluh, staf, hanya, mengatakan, ada, masalah, internet, minggu, berikutnya, datang, tinggal, internet, memiliki, masalah, sarapan, baik, keseluruhan, kamar, ratarata, staf, ratarata","manado, quality, hotel, milik, lokasi, bagus, akses, mudah, ketika, tinggal, sini, akses, internet, sangat, buruk, keluh, staf, hanya, kata, ada, masalah, internet, minggu, ikut, datang, tinggal, internet, milik, masalah, sarap, baik, seluruh, kamar, ratarata, staf, ratarata"
"dan, istri, tinggal, hotel, selama, malam, malam, pertama, punya, kamar, superior, twin, kecewa, staf, hotel, sangat, baik, hari, berikutnya, memberi, kamar, terbaik, menikmati, tinggal, hotel, hanya, perlu, meningkatkan, tempat, parkir, tamu, hotel","dan, istri, tinggal, hotel, lama, malam, malam, pertama, punya, kamar, superior, twin, kecewa, staf, hotel, sangat, baik, hari, ikut, beri, kamar, baik, nikmat, tinggal, hotel, hanya, perlu, tingkat, tempat, parkir, tamu, hotel"
"hotel, lama, berlokasi, pusat, kota, kamarnya, nyaman, rapih, sarapannya, beragam, nikmat, jajan, pasar, bubur, manado, di, lidah, tidak, biasa, ada, wifi, sinyalnya, kurang, bagus","hotel, lama, lokasi, pusat, kota, kamar, nyaman, rapih, sarap, agam, nikmat, jajan, pasar, bubur, manado, di, lidah, tidak, biasa, ada, wifi, sinyal, kurang, bagus"
"cari, referensi, hotel, manado, quality, hotel, sangat, memuaskan, pelayanan, kamar, hotel, yg, bersih, makanan, yg, enak, tentunya, harganya, terjangkau, kali, berkunjung, manado, kali, quality, hotel, jadi, pilihan, saya","cari, referensi, hotel, manado, quality, hotel, sangat, muas, layan, kamar, hotel, yg, bersih, makan, yg, enak, tentu, harga, jangkau, kali, kunjung, manado, kali, quality, hotel, jadi, pilih, saya"
"manado, quality, hotel, memiliki, lokasi, strategis, akses, mudah, juga, mudah, pergi, mal, banyak, mall, jalan, sama, pelayanan, baik, didukung, staf, ramah, membantu, kamar, luas, bersih, cukup, kekurangan, saya, pertama, tempat, tidur, kasur, tempat, tidur, pindah, derit, mengganggu, ketenangan, tidur, kami, kedua, akses, wifi, lambat, sarapan, ok, banyak, varian, makanan, bisa, dimakan, rasanya, lumayan, adalah, nilai, lokasi, pelayanan, kamar, makanan, sarapan, kualitas, tidur, pelayanan, kualitas, vs, harga","manado, quality, hotel, milik, lokasi, strategis, akses, mudah, juga, mudah, pergi, mal, banyak, mall, jalan, sama, layan, baik, dukung, staf, ramah, bantu, kamar, luas, bersih, cukup, kurang, saya, pertama, tempat, tidur, kasur, tempat, tidur, pindah, derit, ganggu, tenang, tidur, kami, dua, akses, wifi, lambat, sarap, ok, banyak, varian, makan, bisa, makan, rasa, lumayan, adalah, nilai, lokasi, layan, kamar, makan, sarap, kualitas, tidur, layan, kualitas, vs, harga"
"kualitas, hotel, manado, hotel, berkualitas, terletak, jalan, raya, terkenal, jalan, staf, membantu, ramah, sarapan, baik, makanan, lezat, memiliki, sebuah, bar, lounge, bagus, harga, terjangkau, makanan, bir, tarif, kamar, lokasi, bagus, ramah, membantu, staf, harga, terjangkau","kualitas, hotel, manado, hotel, kualitas, letak, jalan, raya, kenal, jalan, staf, bantu, ramah, sarap, baik, makan, lezat, milik, buah, bar, lounge, bagus, harga, jangkau, makan, bir, tarif, kamar, lokasi, bagus, ramah, bantu, staf, harga, jangkau"
"lantai, bebas, rokok, berbau, rokok, kami, masih, bisa, merokok, lokasi, baik, hotel, cukup, bersih, ada, banyak, pilihan, tersedia, sarapan, koneksi, wifi, cukup, bagus, kamar","lantai, bebas, rokok, bau, rokok, kami, masih, bisa, rokok, lokasi, baik, hotel, cukup, bersih, ada, banyak, pilih, sedia, sarap, koneksi, wifi, cukup, bagus, kamar"
"hotel, bagus, lokasi, sangat, strategis, jalan, boulevard, manado, mau, pusat, perbelanjaan, mantoz, kawasan, mega, mas, bahu, mall, semuanya, dekat, kamarnya, bersih, sarapannya, lumayan, coto, bubur, manado, lain, parkiran, luas, sayang, ngak, kolam, renang","hotel, bagus, lokasi, sangat, strategis, jalan, boulevard, manado, mau, pusat, belanja, mantoz, kawasan, mega, mas, bahu, mall, semua, dekat, kamar, bersih, sarap, lumayan, coto, bubur, manado, lain, parkir, luas, sayang, ngak, kolam, renang"
"keberatan, hirup, rokok, merokok, x, bisa, menjadi, sebuah, hotel, layak, anda, sirkulasi, udara, sangat, buruk, mencium, bau, rokok, merokok, lobi, datang, lantai, bawah, memasuki, hotel, anda, akan, bau, rokok, merokok, mereka, cukup, kuat, merokok, ruang, terbuka, langsung, lobi, tempat, kami, mencium, bau, rokok, lift, rasanya, berada, dalam, area, merokok, sepanjang, waktu, anda, memiliki, anakanak, tinggal, jauh, tempat, cukup, bersih, lokasi, tidak, buruk, staf, cukup, ramah, anda, seorang, perokok, tidak, memiliki, masalah, merokok, adalah, hotel, cukup, layak","berat, hirup, rokok, rokok, x, bisa, jadi, buah, hotel, layak, anda, sirkulasi, udara, sangat, buruk, cium, bau, rokok, rokok, lobi, datang, lantai, bawah, pasuk, hotel, anda, akan, bau, rokok, rokok, mereka, cukup, kuat, rokok, ruang, buka, langsung, lobi, tempat, kami, cium, bau, rokok, lift, rasa, ada, dalam, area, rokok, panjang, waktu, anda, milik, anakanak, tinggal, jauh, tempat, cukup, bersih, lokasi, tidak, buruk, staf, cukup, ramah, anda, orang, okok, tidak, milik, masalah, rokok, adalah, hotel, cukup, layak"
"hotel, nuansa, modern, interior, bagus, kamarnya, tertata, apik, resik, cukup, luas, lengkap, peralatan, dibutuhkan, ke, cotton, bud, cahaya, terang, penataan, lampu, simetris, didukung, sarapan, beragam, enak","hotel, nuansa, modern, interior, bagus, kamar, tata, apik, resik, cukup, luas, lengkap, alat, butuh, ke, cotton, bud, cahaya, terang, tata, lampu, simetris, dukung, sarap, agam, enak"
"kamar, pesan, junior, suite, free, upgrade, royal, suite, sangat, luas, nyaman, disambut, buahan, surat, selamat, datang, atas, nama, pengunjung, manajemen, baik, lokasi, strategis, boulevard, banyak, mall, sekitar, dekat, tepi, laut, pemandangan, baik, makanan, bervariasi, tersedia, makanan, khas, manado","kamar, pesan, junior, suite, free, upgrade, royal, suite, sangat, luas, nyaman, sambut, buah, surat, selamat, datang, atas, nama, unjung, manajemen, baik, lokasi, strategis, boulevard, banyak, mall, sekitar, dekat, tepi, laut, pandang, baik, makan, variasi, sedia, makan, khas, manado"
"hotel, setahu, sudah, cukup, lama, kondisi, hotel, ridak, beda, waktu, visit, beberapa, tahun, lalu, kualitas, service, justru, jauh, meningkat, sejak, pertama, kali, check, inn, check, out, semua, karyawan, semua, lapisan, hormat, penuh, senyum, terlihat, saat, banyak, turis, asing, menginap, hotel","hotel, tahu, sudah, cukup, lama, kondisi, hotel, ridak, beda, waktu, visit, beberapa, tahun, lalu, kualitas, service, justru, jauh, tingkat, sejak, pertama, kali, check, inn, check, out, semua, karyawan, semua, lapis, hormat, penuh, senyum, lihat, saat, banyak, turis, asing, inap, hotel"
"menginap, malam, sini, kamar, kamar, sangat, bagus, lantai, kayu, pancuran, air, kuat, staf, sangat, ramah, semua, mereka, ramah, senyum, sapaan, di, manamana, perlu, diperhatikan, ada, wifi, di, lantai, st, kamar, bebas, rokok, yang, masih, memiliki, sedikit, bau, asap","inap, malam, sini, kamar, kamar, sangat, bagus, lantai, kayu, pancur, air, kuat, staf, sangat, ramah, semua, mereka, ramah, senyum, sapa, di, manamana, perlu, perhati, ada, wifi, di, lantai, st, kamar, bebas, rokok, yang, masih, milik, sedikit, bau, asap"
"menginap, hotel, sebenarnya, sangat, menyenangkan, kamar, breakfast, yg, baik, staff, ramah, jangan, harap, mendapatkan, wifi, dikamar, ada, signal, wifi, semua, kamar, bahkan, lobby, sekalipun, sulit, mengakses, wifi, hotel, sangat, menyulitkan, perjalanan, bisnis","inap, hotel, benar, sangat, senang, kamar, breakfast, yg, baik, staff, ramah, jangan, harap, dapat, wifi, kamar, ada, signal, wifi, semua, kamar, bahkan, lobby, sekalipun, sulit, akses, wifi, hotel, sangat, sulit, jalan, bisnis"
"tinggal, sana, selama, malam, kamar, deluxe, pemandangan, kamar, luas, bangunan, sebagian, melihat, anda, dapat, melihat, laut, lokasinya, bagus, dekat, pusat, perbelanjaan, restoran, makanan, laut, internet, tersedia, lobi, sarapan, baik, disajikan, bubur, manado, taksi, bandara, max, rp, taksi, berhenti, depan, hotel, makanan, halal, banyak, restoran, dekatnya","tinggal, sana, lama, malam, kamar, deluxe, pandang, kamar, luas, bangun, bagi, lihat, anda, dapat, lihat, laut, lokasi, bagus, dekat, pusat, belanja, restoran, makan, laut, internet, sedia, lobi, sarap, baik, saji, bubur, manado, taksi, bandara, max, rp, taksi, henti, depan, hotel, makan, halal, banyak, restoran, dekat"
"hotel, terletak, dekat, pantai, lokasi, strategis, bisnis, banyak, restoran, dekat, hotel, di, seberang, jalan, supermarket, besar, lobi, bagus, pemandangan, indah, kamar, kamar, bersih, staf, kantor, depan, sangat, membantu","hotel, letak, dekat, pantai, lokasi, strategis, bisnis, banyak, restoran, dekat, hotel, di, seberang, jalan, supermarket, besar, lobi, bagus, pandang, indah, kamar, kamar, bersih, staf, kantor, depan, sangat, bantu"
